epoch,train_loss,val_loss,val_mae,pixel_error,lr
1,0.225941,0.209735,0.3585,408.8,0.001951
2,0.196561,0.219911,0.3664,417.4,0.001809
3,0.186962,0.183508,0.3307,370.9,0.001588
4,0.182605,0.187360,0.3353,374.3,0.001309
5,0.179433,0.175224,0.3211,358.8,0.001000
6,0.176527,0.172368,0.3175,354.2,0.000692
7,0.174758,0.172176,0.3159,352.1,0.000413
8,0.172585,0.170056,0.3149,351.2,0.000192
9,0.171343,0.168985,0.3127,348.5,0.000050
10,0.170441,0.167867,0.3121,347.7,0.002000
11,0.178707,0.187421,0.3348,375.7,0.001988
12,0.175966,0.172950,0.3179,354.9,0.001951
13,0.174835,0.187298,0.3372,381.2,0.001891
14,0.173694,0.193939,0.3418,384.0,0.001809
15,0.172867,0.168273,0.3124,348.0,0.001707
16,0.172121,0.171786,0.3170,354.0,0.001588
17,0.171079,0.168492,0.3127,348.6,0.001454
18,0.170701,0.169080,0.3130,348.1,0.001309
19,0.169508,0.170034,0.3146,350.9,0.001157
20,0.168879,0.170608,0.3174,355.5,0.001000
21,0.168123,0.202824,0.3511,396.7,0.000844
22,0.167520,0.175220,0.3204,358.6,0.000692
23,0.166970,0.166123,0.3099,345.0,0.000547
24,0.166533,0.165969,0.3093,344.4,0.000413
25,0.165957,0.164740,0.3086,343.5,0.000294
26,0.165595,0.164408,0.3078,342.6,0.000192
27,0.165216,0.163813,0.3068,341.2,0.000110
28,0.164956,0.163775,0.3066,341.0,0.000050
29,0.164755,0.163593,0.3067,341.1,0.000013
30,0.164570,0.163571,0.3066,340.9,0.002000
31,0.169842,0.172008,0.3181,356.7,0.001997
32,0.169484,0.306832,0.4481,510.7,0.001988
33,0.168840,0.234341,0.3841,443.4,0.001972
34,0.168869,0.167999,0.3122,347.8,0.001951
35,0.168453,0.167449,0.3126,348.0,0.001924
36,0.168345,0.167565,0.3127,348.7,0.001891
37,0.168001,0.167847,0.3115,347.4,0.001853
38,0.167531,0.172168,0.3179,355.7,0.001809
39,0.167487,0.200729,0.3468,392.5,0.001761
40,0.167333,0.174004,0.3193,355.8,0.001707
41,0.166910,0.165032,0.3086,343.2,0.001650
42,0.166664,0.198640,0.3468,392.9,0.001588
43,0.166290,0.165198,0.3088,343.6,0.001523
44,0.166153,0.165579,0.3095,344.6,0.001454
45,0.165729,0.164940,0.3079,342.7,0.001383
46,0.165672,0.166152,0.3094,344.5,0.001309
47,0.165468,0.164813,0.3082,342.9,0.001234
48,0.165324,0.165087,0.3081,342.7,0.001157
49,0.164838,0.165458,0.3091,343.8,0.001079
50,0.164749,0.164419,0.3095,343.8,0.001000
51,0.164377,0.164532,0.3076,342.0,0.000922
52,0.164082,0.164205,0.3073,341.7,0.000844
53,0.163905,0.163948,0.3072,341.7,0.000767
54,0.163494,0.163485,0.3069,341.1,0.000692
55,0.163598,0.163755,0.3069,341.4,0.000618
56,0.163257,0.163434,0.3069,341.0,0.000547
57,0.162812,0.163051,0.3058,340.1,0.000478
58,0.162667,0.163116,0.3059,340.0,0.000413
59,0.162414,0.163563,0.3062,340.3,0.000351
60,0.162191,0.162950,0.3062,340.3,0.000294
61,0.162186,0.162611,0.3054,339.5,0.000240
62,0.161883,0.162854,0.3055,339.5,0.000192
63,0.161711,0.162637,0.3055,339.7,0.000148
64,0.161540,0.162568,0.3054,339.4,0.000110
